Table 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,171125, ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,123665,458,6,87,68,297,3112,576,2330,206
,Total area actually reporting,1,543,6,105,72,360,3603,765,2596,242
,"Rate per 100,000 inhabitants",,317.3,3.5,61.4,42.1,210.4,2105.5,447,1517,141.4
"Akron, OH M.S.A.2",,703784, ,,,,, ,,,
,Includes Portage2 and Summit Counties,,,,,,,,,,
,City of Akron,197882,1782,27,181,328,1246,6568,1686,4305,577
,Total area actually reporting,0.945,2540,33,285,443,1779,13746,2687,10196,863
,Estimated total,1,2616,33,318,455,1810,14445,2770,10781,894
,"Rate per 100,000 inhabitants",,371.7,4.7,45.2,64.7,257.2,2052.5,393.6,1531.9,127
"Albany, GA M.S.A.3",,149257, ,,,,, ,,,
,"Includes Dougherty, Lee, Terrell, and Worth Counties3",,,,,,,,,,
,City of Albany3,74989,790,12,32,165,581,3452,729,2489,234
,Total area actually reporting,0.974,1057,12,65,199,781,4951,1062,3565,324
,Estimated total,1,1071,12,66,202,791,5057,1074,3650,333
,"Rate per 100,000 inhabitants",,717.6,8,44.2,135.3,530,3388.1,719.6,2445.4,223.1
"Albany-Lebanon, OR M.S.A.",,128105, ,,,,, ,,,
,Includes Linn County,,,,,,,,,,
,City of Albany,54993,70,1,10,16,43,1467,128,1242,97
,City of Lebanon,17304,29,0,11,0,18,372,22,323,27
,Total area actually reporting,1,175,6,35,24,110,2743,342,2162,239
,"Rate per 100,000 inhabitants",,136.6,4.7,27.3,18.7,85.9,2141.2,267,1687.7,186.6
"Albany-Schenectady-Troy, NY M.S.A.",,879862,,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,97221,736,4,60,189,483,2919,445,2315,159
,City of Schenectady,65504,528,3,56,133,336,1770,248,1392,130
,City of Troy,49286,296,3,25,73,195,1365,225,1035,105
,Total area actually reporting,1,2266,14,350,483,1419,15367,1743,12988,636
,"Rate per 100,000 inhabitants",,257.5,1.6,39.8,54.9,161.3,1746.5,198.1,1476.1,72.3
"Albuquerque, NM M.S.A.4",,918114, ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque4,561920,7596,84,486,1699,5327,,,20634,5425
,Total area actually reporting,0.872,9004,91,564,1768,6581,,,23626,6025
,Estimated total,1,9580,93,588,1781,7118,,,24180,6188
,"Rate per 100,000 inhabitants",,1043.4,10.1,64,194,775.3,,,2633.7,674
"Alexandria, LA M.S.A.",,152025, ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
