Metropolitan Statistical Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"171,125", ,,,,, ,,,
,,,,,,,,,,,
,,"123,665", 458 , 6 , 87 , 68 , 297 ," 3,112 ", 576 ," 2,330 ", 206 
,,100.0%, 543 , 6 , 105 , 72 , 360 ," 3,603 ", 765 ," 2,596 ", 242 
,,,317.3,3.5,61.4,42.1,210.4,"2,105.5",447.0,"1,517.0",141.4
"Akron, OH M.S.A.2",,"703,784", ,,,,, ,,,
,,,,,,,,,,,
,,"197,882"," 1,782 ", 27 , 181 , 328 ," 1,246 "," 6,568 "," 1,686 "," 4,305 ", 577 
,,94.5%," 2,540 ", 33 , 285 , 443 ," 1,779 "," 13,746 "," 2,687 "," 10,196 ", 863 
,,100.0%," 2,616 ", 33 , 318 , 455 ," 1,810 "," 14,445 "," 2,770 "," 10,781 ", 894 
,,,371.7,4.7,45.2,64.7,257.2,"2,052.5",393.6,"1,531.9",127.0
"Albany, GA M.S.A.3",,"149,257", ,,,,, ,,,
,,,,,,,,,,,
,,"74,989", 790 , 12 , 32 , 165 , 581 ," 3,452 ", 729 ," 2,489 ", 234 
,,97.4%," 1,057 ", 12 , 65 , 199 , 781 ," 4,951 "," 1,062 "," 3,565 ", 324 
,,100.0%," 1,071 ", 12 , 66 , 202 , 791 ," 5,057 "," 1,074 "," 3,650 ", 333 
,,,717.6,8.0,44.2,135.3,530.0,"3,388.1",719.6,"2,445.4",223.1
"Albany-Lebanon, OR M.S.A.",,"128,105", ,,,,, ,,,
,,,,,,,,,,,
,,"54,993", 70 , 1 , 10 , 16 , 43 ," 1,467 ", 128 ," 1,242 ", 97 
,,"17,304", 29 , 0 , 11 , 0 , 18 , 372 , 22 , 323 , 27 
,,100.0%, 175 , 6 , 35 , 24 , 110 ," 2,743 ", 342 ," 2,162 ", 239 
,,,136.6,4.7,27.3,18.7,85.9,"2,141.2",267.0,"1,687.7",186.6
"Albany-Schenectady-Troy, NY M.S.A.",,"879,862",,,,,,,,,
,,,,,,,,,,,
,,"97,221", 736 , 4 , 60 , 189 , 483 ," 2,919 ", 445 ," 2,315 ", 159 
,,"65,504", 528 , 3 , 56 , 133 , 336 ," 1,770 ", 248 ," 1,392 ", 130 
,,"49,286", 296 , 3 , 25 , 73 , 195 ," 1,365 ", 225 ," 1,035 ", 105 
,,100.0%," 2,266 ", 14 , 350 , 483 ," 1,419 "," 15,367 "," 1,743 "," 12,988 ", 636 
,,,257.5,1.6,39.8,54.9,161.3,"1,746.5",198.1,"1,476.1",72.3
"Albuquerque, NM M.S.A.4",,"918,114", ,,,,, ,,,
,,,,,,,,,,,
,,"561,920"," 7,596 ", 84 , 486 ," 1,699 "," 5,327 ",,," 20,634 "," 5,425 "
,,87.2%," 9,004 ", 91 , 564 ," 1,768 "," 6,581 ",,," 23,626 "," 6,025 "
,,100.0%," 9,580 ", 93 , 588 ," 1,781 "," 7,118 ",,," 24,180 "," 6,188 "
,,,"1,043.4",10.1,64.0,194.0,775.3,,,"2,633.7",674.0
"Alexandria, LA M.S.A.",,"152,025", ,,,,, ,,,
,,,,,,,,,,,
,,"46,630", 732 , 9 , 16 , 132 , 575 ," 4,180 ", 892 ," 3,056 ", 232 
,,82.5%," 1,172 ", 14 , 67 , 159 , 932 ," 6,428 "," 1,584 "," 4,460 ", 384 
